     h  k  l        d       absF         lp twotheta
236 -2  0  2 1.663324  33.129939   6.962652 55.22375
237 -1  0  2 1.941804  14.500782  10.153939 46.78285
238  0  0  2 2.071100 202.550906  11.840020 43.70590
239  1  0  2 1.941804  14.500782  10.153939 46.78285
240  2  0  2 1.663324  33.129939   6.962652 55.22375
241  3  0  2 1.384294  12.950663   4.441794 67.68369
242 -3  2  2 1.414828  14.107041   4.679609 66.03344
243 -2  2  2 1.658845  30.152432   6.916507 55.38563
244 -1  2  2 1.852489  15.149694   9.063344 49.18374
245  0  2  2 1.877938  29.157065   9.367809 48.47404
246  1  2  2 1.715313  13.500082   7.510768 53.41450
247  2  2  2 1.473867 161.231250   5.167911 63.07508
248  3  2  2 1.245166  12.598650   3.502988 76.50491
249 -3  4  2 1.315180  10.893649   3.943783 71.77111
250 -2  4  2 1.464570 158.096635   5.088619 63.52203
251 -1  4  2 1.545908  14.116624   5.811214 59.82571
252  0  4  2 1.516491  33.918160   5.542464 61.10873
253  1  4  2 1.392950  14.509665   4.508152 67.20690
254  2  4  2 1.230830  16.082098   3.421628 77.56109
255 -2  6  2 1.221819  15.037927   3.372179 78.24169
256 -1  6  2 1.243863  10.050262   3.495462 76.59956
257  0  6  2 1.206522 133.879262   3.291320 79.42833
258  0 -3  3 1.251959  75.584234   3.542651 76.01556
259  1 -3  3 1.256173  36.237725   3.567611 75.71543
260  2 -3  3 1.200720   5.343409   3.261708 79.88898
261 -2 -1  3 1.204118  19.106531   3.278979 79.61847
262 -1 -1  3 1.311544  32.105685   3.919226 72.00116
263  0 -1  3 1.364435  23.289472   4.292806 68.80570
264  1 -1  3 1.339767  31.374937   4.114256 70.25683
265  2 -1  3 1.248799  75.756598   3.524112 76.24233
266 -2  1  3 1.248799  75.756598   3.524112 76.24233
267 -1  1  3 1.339767  31.374937   4.114256 70.25683
268  0  1  3 1.364435  23.289472   4.292806 68.80570
269  1  1  3 1.311544  32.105685   3.919226 72.00116
270  2  1  3 1.204118  19.106531   3.278979 79.61847
271 -2  3  3 1.200720   5.343409   3.261708 79.88898
272 -1  3  3 1.256173  36.237725   3.567611 75.71543
273  0  3  3 1.251959  75.584234   3.542651 76.01556
